Legend,Temperature (°C),ρ (Ω.cm)
Heating,-22.07070707070707,7.18282
Heating,-20.606060606060606,7.2028
Heating,-19.141414141414142,7.142860000000001
Heating,-17.676767676767675,7.0729299999999995
Heating,-14.747474747474747,6.98302
Heating,-13.282828282828282,6.9031
Heating,-11.818181818181817,6.843159999999999
Heating,-10.353535353535353,6.8032
Heating,-8.88888888888889,6.76324
Heating,-7.424242424242422,6.68332
Heating,-5.9595959595959584,6.6034
Heating,-4.494949494949495,6.6034
Heating,-3.0303030303030276,6.503500000000001
Heating,-1.565656565656564,6.44356
Heating,-0.10101010101010033,6.3836200000000005
Heating,1.3636363636363669,6.36364
Heating,2.8282828282828305,6.28372
Heating,4.292929292929294,6.22378
Heating,5.757575757575761,6.203799999999999
Heating,7.222222222222221,6.12388
Heating,8.686868686868692,6.04396
Heating,10.151515151515156,6.004
Heating,11.61616161616162,5.994009999999999
Heating,13.080808080808083,5.9440599999999995
Heating,14.545454545454547,5.904100000000001
Heating,16.01010101010101,5.904100000000001
Heating,17.47474747474748,5.83417
Heating,18.939393939393945,5.76424
Heating,20.40404040404041,5.72428
Heating,21.868686868686872,5.68432
Heating,23.333333333333336,5.58442
Heating,24.7979797979798,5.5045
Heating,26.262626262626263,5.48452
Heating,27.727272727272734,5.38462
Heating,29.191919191919197,5.3047
Heating,30.65656565656566,5.26474
Heating,32.121212121212125,5.2048
Heating,33.58585858585859,5.1049
Heating,35.05050505050505,5.02498
Heating,36.51515151515152,5.005
Heating,37.979797979797986,4.88512
Heating,39.44444444444444,4.7652399999999995
Heating,40.90909090909092,4.72528
Heating,42.373737373737384,4.66534
Heating,43.83838383838385,4.525479999999999
Heating,45.30303030303031,4.4056
Heating,46.767676767676775,4.365640000000001
Heating,48.23232323232324,4.1858200000000005
Heating,49.6969696969697,3.9660400000000005
Heating,51.161616161616166,3.94606
Heating,52.62626262626263,3.7912150000000002
Heating,54.09090909090909,3.5464599999999997
Heating,55.55555555555556,3.3666399999999994
Heating,57.02020202020202,3.3866199999999997
Heating,58.484848484848484,3.0070000000000006
Heating,59.94949494949496,2.6373699999999998
Heating,61.414141414141426,2.4075999999999995
Heating,62.87878787878789,9.1009
Heating,64.34343434343435,9.07093
Heating,65.80808080808082,1.94806
Heating,67.27272727272728,1.94806
Heating,68.73737373737374,9.12088
Heating,70.20202020202021,1.6483600000000003
Heating,71.66666666666667,1.52848
Heating,73.13131313131314,1.4885199999999994
Heating,74.5959595959596,1.3486600000000006
Heating,76.06060606060606,1.2687399999999993
Heating,77.52525252525253,1.2687399999999993
Heating,78.989898989899,8.99101
Heating,80.45454545454547,8.96104
Heating,81.91919191919193,1.1888199999999998
Heating,83.3838383838384,8.92108
Heating,84.84848484848486,8.88112
Heating,86.31313131313132,1.1089000000000002
Heating,87.77777777777779,1.0889199999999999
Heating,89.24242424242425,8.441559999999999
Heating,90.70707070707071,1.028979999999999
Heating,92.17171717171718,1.0689399999999996
Heating,93.63636363636364,6.98302
Heating,95.1010101010101,6.94306
Heating,96.56565656565657,0.98902
Heating,98.03030303030305,7.12288
Heating,99.49494949494951,8.28172
Heating,100.95959595959597,0.8891200000000001
Heating,102.42424242424244,0.9090999999999987
Heating,103.88888888888889,8.66134
Heating,105.35353535353536,9.14086
Heating,106.81818181818184,9.52048
Heating,108.28282828282829,9.54046
Heating,109.74747474747477,9.62038
Heating,111.21212121212122,9.64036
Heating,112.6767676767677,9.68032
Heating,114.14141414141415,9.66034
Heating,115.60606060606062,9.66034
Heating,118.53535353535355,9.66034
