Legend,Temperature (°C),ρ (Ω·cm)
Cooling,16.666666666666668,2453.641975308642
Cooling,18.88888888888889,2545.679012345679
Cooling,20.0,2555.9053497942386
Cooling,21.11111111111111,2545.679012345679
Cooling,22.22222222222222,2535.4526748971193
Cooling,23.333333333333336,2535.4526748971193
Cooling,24.444444444444446,439.05349794238685
Cooling,25.555555555555557,2535.4526748971193
Cooling,27.77777777777778,2545.679012345679
Cooling,28.88888888888889,2555.9053497942386
Cooling,30.0,510.63786008230454
Cooling,31.111111111111114,2586.5843621399176
Cooling,32.22222222222222,2576.3580246913584
Cooling,33.333333333333336,2688.8477366255142
Cooling,34.44444444444444,2668.3950617283954
Cooling,35.55555555555556,653.80658436214
Cooling,36.66666666666667,3783.065843621399
Cooling,37.77777777777778,3747.2736625514403
Cooling,38.88888888888889,4094.9691358024693
Cooling,40.0,756.0699588477366
Cooling,41.111111111111114,4094.9691358024693
Cooling,42.22222222222222,2985.411522633745
Cooling,43.333333333333336,899.238683127572
Cooling,44.44444444444444,878.7860082304527
Cooling,45.55555555555556,2484.320987654321
Cooling,47.77777777777778,2397.3971193415637
Cooling,48.88888888888889,1052.633744855967
Cooling,50.0,1016.8415637860082
Cooling,51.111111111111114,2382.0576131687244
Cooling,52.22222222222222,2371.8312757201647
Cooling,54.44444444444445,1236.7078189300412
Cooling,55.55555555555556,1226.4814814814815
Cooling,56.66666666666667,2369.274691358025
Cooling,57.77777777777778,2369.274691358025
Cooling,58.88888888888889,1471.9135802469136
Cooling,60.0,1635.5349794238682
Cooling,61.111111111111114,1819.6090534979426
Cooling,62.22222222222223,2259.3415637860085
Cooling,63.333333333333336,2658.1687242798353
Cooling,64.44444444444444,3195.051440329218
Cooling,65.55555555555556,3430.257201646091
Cooling,66.66666666666667,3609.218106995885
Cooling,67.77777777777779,3823.971193415638
Cooling,68.88888888888889,4008.045267489712
Cooling,70.0,4279.043209876543
Cooling,71.11111111111111,4309.722222222223
Cooling,72.22222222222223,4355.740740740741
Cooling,73.33333333333334,4391.532921810699
Cooling,74.44444444444444,4427.325102880658
Cooling,75.55555555555556,4468.230452674898
Cooling,76.66666666666667,4478.456790123457
Cooling,77.77777777777779,4504.022633744856
Cooling,78.88888888888889,4519.3621399176955
Cooling,80.0,4529.588477366255
Cooling,81.11111111111111,4534.701646090534
Cooling,82.22222222222223,4529.588477366255
Cooling,83.33333333333334,4547.484567901234
Cooling,84.44444444444444,1226.4814814814815
Cooling,85.55555555555556,1246.9341563786008
Cooling,86.66666666666667,4539.814814814815
Cooling,87.77777777777779,4578.163580246914
Cooling,88.88888888888889,4596.059670781893
Cooling,90.0,4606.286008230453
Cooling,91.11111111111111,4642.078189300411
Cooling,92.22222222222223,4642.078189300411
Cooling,93.33333333333334,1543.4979423868313
Cooling,94.44444444444444,4662.530864197531
Cooling,95.55555555555556,1594.6296296296298
Cooling,96.66666666666667,4713.6625514403295
Cooling,97.77777777777779,4698.32304526749
Cooling,98.8888888888889,4690.653292181069
Cooling,100.0,1609.9691358024693
Cooling,101.11111111111111,1615.0823045267489
Cooling,102.22222222222223,1517.9320987654319
Cooling,103.33333333333334,1252.0473251028807
Cooling,104.44444444444444,1507.7057613168724
Cooling,105.55555555555556,1277.61316872428
Cooling,106.66666666666667,1553.724279835391
Cooling,107.77777777777779,1328.7448559670781
Cooling,108.8888888888889,1354.3106995884773
Cooling,110.0,1589.51646090535
